dataset,task,algo_model,rank,bad,good,not_care,further_analysis,true_label_vs_embedding_spearman,est_label_vs_embedding_spearman,est_smaller_than_true
stats,card,llm_Qwen-Qwen3-Embedding-4B,4,2,13,1,1,0.4771***,0.2550***,True
stats,card,llm_Qwen-Qwen3-Embedding-8B,4,2,13,1,1,0.4771***,0.3450***,True
stats,card,llm_answerdotai-ModernBERT-base,7,2,13,2,0,0.4695***,0.2400***,True
stats,card,llm_google-gemma-3-12b-pt,8,2,13,1,1,0.4683***,0.2386***,True
stats,card,llm_google-gemma-3-1b-pt,8,2,13,1,1,0.4683***,0.2749***,True
stats,card,llm_google-gemma-3-4b-pt,8,2,13,1,1,0.4683***,0.3079***,True
stats,card,llm_bert-base-uncased,11,2,13,1,1,0.4514***,0.2766***,True
stats,card,llm_sentence-transformers-all-MiniLM-L6-v2,11,2,13,1,1,0.4514***,0.2421***,True
stats,card,e2e_cost_none,13,1,13,1,2,0.2064***,-0.2275***,True
stats,card,bao_none,14,10,7,0,0,0.1096***,-0.2067***,True
stats,card,qf_none,15,16,0,0,1,-0.0663***,-0.1937***,True
stats,card,aimai_none,16,14,2,1,0,-0.2924***,-0.1962***,False
stats,time,llm_meta-llama-Llama-3.2-3B,1,8,3,6,0,0.5201***,0.4275***,True
stats,time,llm_meta-llama-Llama-3.1-8B,2,8,3,6,0,0.5200***,0.4545***,True
stats,time,llm_meta-llama-Llama-3.2-1B,2,8,3,6,0,0.5200***,0.4159***,True
stats,time,llm_bert-base-uncased,4,8,3,6,0,0.4993***,0.3231***,True
stats,time,llm_sentence-transformers-all-MiniLM-L6-v2,4,8,3,6,0,0.4993***,0.3114***,True
stats,time,llm_google-gemma-3-12b-pt,6,8,3,6,0,0.4968***,0.4046***,True
stats,time,llm_google-gemma-3-4b-pt,6,8,3,6,0,0.4968***,0.3729***,True
stats,time,llm_google-gemma-3-1b-pt,8,8,3,6,0,0.4966***,0.3624***,True
stats,time,llm_Qwen-Qwen3-Embedding-0.6B,9,8,3,6,0,0.4960***,0.2999***,True
stats,time,llm_Qwen-Qwen3-Embedding-4B,9,8,3,6,0,0.4960***,0.4117***,True
stats,time,llm_Qwen-Qwen3-Embedding-8B,9,8,3,6,0,0.4960***,0.4252***,True
stats,time,llm_answerdotai-ModernBERT-base,12,8,3,6,0,0.4956***,0.3196***,True
stats,time,aimai_none,13,7,4,6,0,0.0726,0.0455,True
stats,time,e2e_cost_none,14,10,1,6,0,-0.0080,0.5042***,False
stats,time,bao_none,15,13,2,2,0,-0.0620,-0.2001*,True
stats,time,qf_none,16,11,0,6,0,-0.0848,0.1702*,False
syn,card,llm_meta-llama-Llama-3.2-1B,1,3,11,2,1,0.2159***,0.2102***,True
syn,card,llm_meta-llama-Llama-3.1-8B,2,3,11,3,0,0.2158***,0.2097***,True
syn,card,llm_meta-llama-Llama-3.2-3B,3,3,11,2,1,0.2157***,0.2107***,True
syn,card,llm_Qwen-Qwen3-Embedding-0.6B,4,3,11,2,1,0.2148***,0.2074***,True
syn,card,llm_Qwen-Qwen3-Embedding-4B,4,3,11,3,0,0.2148***,0.2132***,True
syn,card,llm_Qwen-Qwen3-Embedding-8B,4,3,11,3,0,0.2148***,0.2149***,False
syn,card,llm_google-gemma-3-1b-pt,7,4,10,3,0,0.2090***,0.2034***,True
syn,card,llm_google-gemma-3-12b-pt,8,4,10,2,1,0.2088***,0.1992***,True
syn,card,llm_google-gemma-3-4b-pt,8,4,10,3,0,0.2088***,0.2056***,True
syn,card,llm_answerdotai-ModernBERT-base,10,4,10,2,1,0.2087***,0.1957***,True
syn,card,llm_bert-base-uncased,11,4,10,3,0,0.1964***,0.1812***,True
syn,card,llm_sentence-transformers-all-MiniLM-L6-v2,11,4,10,2,1,0.1964***,0.1878***,True
syn,card,qf_none,13,14,0,1,2,-0.0427***,-0.3360***,True
syn,card,e2e_cost_none,14,13,0,0,4,-0.0452***,-0.2445***,True
syn,card,bao_none,15,11,4,2,0,-0.1154***,-0.1577***,True
syn,time,aimai_none,1,4,9,4,0,0.3954***,0.3685***,True
syn,time,qf_none,2,3,10,4,0,0.3940***,0.4298***,False
syn,time,llm_meta-llama-Llama-3.2-3B,3,12,2,3,0,0.0593***,0.0486***,True
syn,time,llm_Qwen-Qwen3-Embedding-0.6B,4,12,2,3,0,0.0590***,0.0527***,True
syn,time,llm_Qwen-Qwen3-Embedding-4B,4,12,2,3,0,0.0590***,0.0503***,True
syn,time,llm_Qwen-Qwen3-Embedding-8B,4,12,2,3,0,0.0590***,0.0554***,True
syn,time,llm_meta-llama-Llama-3.1-8B,7,12,2,3,0,0.0587***,0.0439**,True
syn,time,llm_meta-llama-Llama-3.2-1B,7,12,2,3,0,0.0587***,0.0417**,True
syn,time,llm_answerdotai-ModernBERT-base,9,13,1,3,0,0.0486***,0.0206,True
syn,time,llm_google-gemma-3-1b-pt,10,13,1,3,0,0.0483***,0.0371**,True
syn,time,llm_google-gemma-3-4b-pt,11,13,1,3,0,0.0473***,0.0373**,True
syn,time,llm_google-gemma-3-12b-pt,12,13,1,3,0,0.0465**,0.0290*,True
syn,time,llm_bert-base-uncased,13,13,1,3,0,0.0384**,0.0112,True
syn,time,llm_sentence-transformers-all-MiniLM-L6-v2,13,13,1,3,0,0.0384**,0.0105,True
syn,time,e2e_cost_none,15,10,4,3,0,0.0319*,0.6566***,False
syn,time,bao_none,16,12,2,3,0,-0.1599***,0.0584***,False
tpcds,time,qf_none,1,0,0,17,0,0.4900***,0.1288,True
tpcds,time,e2e_cost_none,2,0,0,17,0,0.1669*,0.1360,True
tpcds,time,llm_meta-llama-Llama-3.2-3B,3,0,0,17,0,0.1317,0.1316,True
tpcds,time,llm_meta-llama-Llama-3.1-8B,4,0,0,17,0,0.1316,0.1388,False
tpcds,time,llm_meta-llama-Llama-3.2-1B,4,0,0,17,0,0.1316,0.1343,False
tpcds,time,llm_Qwen-Qwen3-Embedding-0.6B,6,0,0,17,0,0.1299,0.1420,False
tpcds,time,llm_Qwen-Qwen3-Embedding-4B,6,0,0,17,0,0.1299,0.1553,False
tpcds,time,llm_Qwen-Qwen3-Embedding-8B,6,0,0,17,0,0.1299,0.1390,False
tpcds,time,llm_answerdotai-ModernBERT-base,9,0,0,17,0,0.1050,0.1284,False
tpcds,time,llm_google-gemma-3-1b-pt,10,0,0,17,0,0.1030,0.0978,True
tpcds,time,llm_google-gemma-3-4b-pt,10,0,0,17,0,0.1030,0.1060,False
tpcds,time,llm_google-gemma-3-12b-pt,12,0,0,17,0,0.1029,0.1031,False
tpcds,time,llm_bert-base-uncased,13,0,0,17,0,0.0863,0.0881,False
tpcds,time,llm_sentence-transformers-all-MiniLM-L6-v2,13,0,0,17,0,0.0863,0.0906,False
tpcds,time,bao_none,15,0,0,17,0,-0.0028,0.3373***,False
tpch,time,qf_none,1,0,0,17,0,0.2434***,0.1819***,True
tpch,time,llm_bert-base-uncased,2,0,0,17,0,0.0089,0.0124,False
tpch,time,llm_sentence-transformers-all-MiniLM-L6-v2,2,0,0,17,0,0.0089,0.0143,False
tpch,time,bao_none,4,0,0,17,0,0.0057,0.0187,False
tpch,time,llm_google-gemma-3-1b-pt,5,0,0,17,0,-0.0520,-0.0548,True
tpch,time,llm_google-gemma-3-12b-pt,6,0,0,17,0,-0.0521,-0.0566,True
tpch,time,llm_google-gemma-3-4b-pt,7,0,0,17,0,-0.0522,-0.0558,True
tpch,time,llm_answerdotai-ModernBERT-base,8,0,0,17,0,-0.0546,-0.0554,True
tpch,time,llm_Qwen-Qwen3-Embedding-0.6B,9,0,0,17,0,-0.0715,-0.0643,False
tpch,time,llm_Qwen-Qwen3-Embedding-4B,9,0,0,17,0,-0.0715,-0.0624,False
tpch,time,llm_Qwen-Qwen3-Embedding-8B,9,0,0,17,0,-0.0715,-0.0639,False
tpch,time,llm_meta-llama-Llama-3.1-8B,12,0,0,17,0,-0.0816,-0.0768,False
tpch,time,llm_meta-llama-Llama-3.2-1B,12,0,0,17,0,-0.0816,-0.0840,True
tpch,time,llm_meta-llama-Llama-3.2-3B,12,0,0,17,0,-0.0816,-0.0851,True
tpch,time,aimai_none,15,0,0,17,0,-0.2683***,-0.2682***,False
tpch,time,e2e_cost_none,16,0,0,17,0,-0.3503***,0.0006,False
