model,total_params,embedding_params,non_embedding_params,avg_ms,p50_ms,p95_ms,quantification,status,architecture,attention_heads,context_length,deduped_variant,embedding_dimension,encoder_vs_decoder,feature_confidence,ffn_width,hidden_size,is_cased,is_embedding_tuned,is_instruction_tuned,is_multilingual,model_family,num_layers,pooling_method,tokenizer_behavior,tokenizer_type
Qwen/Qwen2.5-Coder-0.5B,315660160,136134656,179525504,83.12,82.57,106.28,4-bit,ok,qwen2,14,32768,False,896,decoder,high,4864.0,896,True,False,False,False,Qwen,24,last_token,SentencePiece,Qwen2TokenizerFast
Qwen/Qwen2.5-Coder-0.5B-Instruct,315660160,136134656,179525504,83.99,89.99,106.25,4-bit,ok,qwen2,14,32768,False,896,decoder,high,4864.0,896,True,False,True,False,Qwen,24,last_token,SentencePiece,Qwen2TokenizerFast
google/electra-small-generator,8846336,4005376,4840960,18.57,20.71,20.87,4-bit,ok,electra,4,512,False,256,encoder,high,1024.0,256,True,False,False,False,ELECTRA,12,mean,WordPiece,ElectraTokenizerFast
google/electra-small-discriminator,8846336,4005376,4840960,18.48,20.73,20.86,4-bit,ok,electra,4,512,False,256,encoder,high,1024.0,256,True,False,False,False,ELECTRA,12,mean,WordPiece,ElectraTokenizerFast
google/electra-base-generator,28792576,24032256,4760320,18.79,20.74,20.89,4-bit,ok,electra,4,512,False,256,encoder,high,1024.0,256,True,False,False,False,ELECTRA,12,mean,WordPiece,ElectraTokenizerFast
google/electra-base-discriminator,66719232,23835648,42883584,18.69,20.38,20.52,4-bit,ok,electra,12,512,False,768,encoder,high,3072.0,768,True,False,False,False,ELECTRA,12,mean,WordPiece,ElectraTokenizerFast
google/electra-large-generator,41627904,32043008,9584896,28.38,30.35,30.53,4-bit,ok,electra,4,512,False,256,encoder,high,1024.0,256,True,False,False,False,ELECTRA,24,mean,WordPiece,ElectraTokenizerFast
google/electra-large-discriminator,183883776,31780864,152102912,31.86,34.38,34.65,4-bit,ok,electra,16,512,False,1024,encoder,high,4096.0,1024,True,False,False,False,ELECTRA,24,mean,WordPiece,ElectraTokenizerFast
microsoft/deberta-v3-xsmall,60212736,49387008,10825728,23.74,25.56,25.78,4-bit,ok,deberta-v2,6,512,False,384,encoder,high,1536.0,384,True,False,False,False,DeBERTa,12,CLS,BPE,DebertaV2TokenizerFast
microsoft/deberta-v3-small,120218112,98774016,21444096,21.23,25.83,26.03,4-bit,ok,deberta-v2,12,512,False,768,encoder,high,3072.0,768,True,False,False,False,DeBERTa,6,CLS,BPE,DebertaV2TokenizerFast
microsoft/deberta-v3-base,141659136,98774016,42885120,37.0,42.68,44.87,4-bit,ok,deberta-v2,12,512,False,768,encoder,high,3072.0,768,True,False,False,False,DeBERTa,12,CLS,BPE,DebertaV2TokenizerFast
microsoft/deberta-v3-large,283803648,131698688,152104960,78.18,83.91,92.68,4-bit,ok,deberta-v2,16,512,False,1024,encoder,high,4096.0,1024,True,False,False,False,DeBERTa,24,CLS,BPE,DebertaV2TokenizerFast
microsoft/mdeberta-v3-base,236046336,193161216,42885120,37.16,42.55,44.93,4-bit,ok,deberta-v2,12,512,False,768,encoder,high,3072.0,768,True,False,False,True,DeBERTa,12,CLS,BPE,DebertaV2TokenizerFast
google/mobilebert-uncased,14628608,4038144,10590464,47.89,49.39,51.7,4-bit,ok,mobilebert,4,512,False,512,encoder,high,512.0,512,False,False,False,False,MobileBERT,24,CLS,WordPiece,MobileBertTokenizerFast
answerdotai/ModernBERT-base,94406400,44974080,49432320,36.38,37.39,39.86,4-bit,ok,modernbert,12,8192,False,768,encoder,high,1152.0,768,True,False,False,False,ModernBERT,22,mean,BPE,PreTrainedTokenizerFast
answerdotai/ModernBERT-large,224125952,59965440,164160512,47.69,45.95,48.03,4-bit,ok,modernbert,16,8192,False,1024,encoder,high,2624.0,1024,True,False,False,False,ModernBERT,28,mean,BPE,PreTrainedTokenizerFast
facebook/opt-125m,83066880,38608896,44457984,16.89,18.2,18.38,4-bit,ok,opt,12,2048,False,768,decoder,high,3072.0,768,True,False,False,False,OPT,12,mean,BPE,GPT2TokenizerFast
facebook/opt-350m,180463616,51478528,128985088,33.87,36.45,39.88,4-bit,ok,opt,16,2048,False,1024,decoder,high,4096.0,1024,True,False,False,False,OPT,24,mean,BPE,GPT2TokenizerFast
EleutherAI/gpt-neo-125m,83026176,38597376,44428800,30.14,34.15,41.99,4-bit,ok,gpt_neo,12,2048,False,768,decoder,high,3072.0,768,True,False,False,False,GPT-Neo,12,mean,BPE,GPT2TokenizerFast
distilbert/distilbert-base-uncased,45276672,23834112,21442560,11.76,13.35,13.45,4-bit,ok,distilbert,12,512,False,768,encoder,high,3072.0,768,False,False,False,False,DistilBERT,6,CLS,WordPiece,DistilBertTokenizerFast
distilbert/distilbert-base-cased,44104704,22662144,21442560,11.05,13.32,13.45,4-bit,ok,distilbert,12,512,False,768,encoder,high,3072.0,768,True,False,False,False,DistilBERT,6,CLS,WordPiece,DistilBertTokenizerFast
distilbert/distilbert-base-multilingual-cased,113647872,92205312,21442560,11.3,13.32,13.46,4-bit,ok,distilbert,12,512,False,768,encoder,high,3072.0,768,True,False,False,True,DistilBERT,6,CLS,WordPiece,DistilBertTokenizerFast
distilbert/distilroberta-base,61032192,38999040,22033152,11.74,13.42,13.49,4-bit,ok,roberta,12,514,False,768,encoder,high,3072.0,768,True,False,False,False,DistilBERT,6,CLS,BPE,RobertaTokenizerFast
distilbert/distilgpt2,61084416,38597376,22487040,12.58,13.93,14.02,4-bit,ok,gpt2,12,1024,False,768,decoder,high,3072.0,768,True,False,False,False,GPT2,6,mean,BPE,GPT2TokenizerFast
google-bert/bert-base-uncased,67309824,23835648,43474176,19.49,22.06,22.17,4-bit,ok,bert,12,512,False,768,encoder,high,3072.0,768,False,False,False,False,BERT,12,CLS,WordPiece,BertTokenizerFast
google-bert/bert-base-cased,66137856,22663680,43474176,17.9,19.97,20.88,4-bit,ok,bert,12,512,False,768,encoder,high,3072.0,768,True,False,False,False,BERT,12,CLS,WordPiece,BertTokenizerFast
google-bert/bert-base-multilingual-cased,135681024,92206848,43474176,18.05,19.98,22.12,4-bit,ok,bert,12,512,False,768,encoder,high,3072.0,768,True,False,False,True,BERT,12,CLS,WordPiece,BertTokenizerFast
google-bert/bert-base-multilingual-uncased,125184000,81709824,43474176,19.04,22.06,22.2,4-bit,ok,bert,12,512,False,768,encoder,high,3072.0,768,False,False,False,True,BERT,12,CLS,WordPiece,BertTokenizerFast
albert/albert-base-v1,8120064,4004096,4115968,17.08,20.03,20.2,4-bit,ok,albert,12,512,False,768,encoder,high,3072.0,768,True,False,False,False,ALBERT,12,CLS,SentencePiece,AlbertTokenizerFast
albert/albert-base-v2,8120064,4004096,4115968,18.78,20.57,20.69,4-bit,ok,albert,12,512,False,768,encoder,high,3072.0,768,True,False,False,False,ALBERT,12,CLS,SentencePiece,AlbertTokenizerFast
albert/albert-large-v1,11359744,4036864,7322880,30.39,33.14,33.37,4-bit,ok,albert,16,512,False,1024,encoder,high,4096.0,1024,True,False,False,False,ALBERT,24,CLS,SentencePiece,AlbertTokenizerFast
albert/albert-large-v2,11359744,4036864,7322880,31.54,34.26,34.54,4-bit,ok,albert,16,512,False,1024,encoder,high,4096.0,1024,True,False,False,False,ALBERT,24,CLS,SentencePiece,AlbertTokenizerFast
albert/albert-xlarge-v1,33493504,4167936,29325568,69.46,73.98,83.13,4-bit,ok,albert,16,512,False,2048,encoder,high,8192.0,2048,True,False,False,False,ALBERT,24,CLS,SentencePiece,AlbertTokenizerFast
albert/albert-xlarge-v2,33493504,4167936,29325568,73.0,79.66,86.75,4-bit,ok,albert,16,512,False,2048,encoder,high,8192.0,2048,True,False,False,False,ALBERT,24,CLS,SentencePiece,AlbertTokenizerFast
albert/albert-xxlarge-v1,121801216,4430080,117371136,132.45,134.6,161.36,4-bit,ok,albert,64,512,False,4096,encoder,high,16384.0,4096,True,False,False,False,ALBERT,12,CLS,SentencePiece,AlbertTokenizerFast
albert/albert-xxlarge-v2,121801216,4430080,117371136,143.6,144.0,170.55,4-bit,ok,albert,64,512,False,4096,encoder,high,16384.0,4096,True,False,False,False,ALBERT,12,CLS,SentencePiece,AlbertTokenizerFast
FacebookAI/roberta-base,82473216,38999040,43474176,16.49,17.77,17.86,4-bit,ok,roberta,12,514,False,768,encoder,high,3072.0,768,True,False,False,False,RoBERTa,12,CLS,BPE,RobertaTokenizerFast
FacebookAI/roberta-large,205151232,51998720,153152512,28.66,30.82,31.12,4-bit,ok,roberta,16,514,False,1024,encoder,high,4096.0,1024,True,False,False,False,RoBERTa,24,CLS,BPE,RobertaTokenizerFast
FacebookAI/xlm-roberta-base,235871232,192397056,43474176,16.37,17.76,17.87,4-bit,ok,xlm-roberta,12,514,False,768,encoder,high,3072.0,768,True,False,False,True,XLM-RoBERTa,12,CLS,BPE,XLMRobertaTokenizerFast
FacebookAI/xlm-roberta-large,409681920,256529408,153152512,28.57,30.8,31.21,4-bit,ok,xlm-roberta,16,514,False,1024,encoder,high,4096.0,1024,True,False,False,True,XLM-RoBERTa,24,CLS,BPE,XLMRobertaTokenizerFast
microsoft/MiniLM-L12-H384-uncased,22890624,11917824,10972800,18.55,20.73,23.07,4-bit,ok,bert,12,512,False,384,encoder,high,1536.0,384,False,False,False,False,MiniLM,12,CLS,WordPiece,BertTokenizerFast
nreimers/MiniLM-L6-H384-uncased,17478528,11917824,5560704,14.79,16.39,19.42,4-bit,ok,bert,12,512,False,384,encoder,high,1536.0,384,False,False,False,False,MiniLM,6,CLS,WordPiece,BertTokenizerFast
sentence-transformers/all-MiniLM-L12-v2,22890624,11917824,10972800,18.57,20.74,23.04,4-bit,ok,bert,12,512,False,384,encoder,high,1536.0,384,True,True,False,False,MiniLM,12,CLS,WordPiece,BertTokenizerFast
sentence-transformers/paraphrase-MiniLM-L12-v2,22890624,11917824,10972800,19.23,20.79,23.07,4-bit,ok,bert,12,512,False,384,encoder,high,1536.0,384,True,True,False,False,MiniLM,12,CLS,WordPiece,BertTokenizerFast
sentence-transformers/paraphrase-MiniLM-L6-v2,17478528,11917824,5560704,14.02,17.04,17.14,4-bit,ok,bert,12,512,False,384,encoder,high,1536.0,384,True,True,False,False,MiniLM,6,CLS,WordPiece,BertTokenizerFast
sentence-transformers/paraphrase-TinyBERT-L6-v2,45868800,23835648,22033152,14.34,17.69,17.82,4-bit,ok,bert,12,512,False,768,encoder,high,3072.0,768,True,True,False,False,TinyBERT,6,CLS,WordPiece,BertTokenizerFast
sentence-transformers/all-mpnet-base-v2,67314048,23839488,43474560,19.01,20.72,20.84,4-bit,ok,mpnet,12,514,False,768,encoder,high,3072.0,768,True,True,False,False,MPNet,12,mean,BPE,MPNetTokenizerFast
sentence-transformers/paraphrase-mpnet-base-v2,67314048,23839488,43474560,18.89,20.67,20.86,4-bit,ok,mpnet,12,514,False,768,encoder,high,3072.0,768,True,True,False,False,MPNet,12,mean,BPE,MPNetTokenizerFast
sentence-transformers/multi-qa-mpnet-base-cos-v1,67314048,23839488,43474560,19.01,20.7,20.88,4-bit,ok,mpnet,12,514,False,768,encoder,high,3072.0,768,True,True,False,False,MPNet,12,mean,BPE,MPNetTokenizerFast
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,17478528,11917824,5560704,13.61,17.04,17.15,4-bit,ok,bert,12,512,False,384,encoder,high,1536.0,384,True,True,False,False,MiniLM,6,CLS,WordPiece,BertTokenizerFast
sentence-transformers/multi-qa-MiniLM-L6-dot-v1,17478528,11917824,5560704,13.31,16.97,17.16,4-bit,ok,bert,12,512,False,384,encoder,high,1536.0,384,True,True,False,False,MiniLM,6,CLS,WordPiece,BertTokenizerFast
sentence-transformers/multi-qa-distilbert-cos-v1,45276672,23834112,21442560,10.13,7.97,15.52,4-bit,ok,distilbert,12,512,False,768,encoder,high,3072.0,768,True,True,False,False,DistilBERT,6,CLS,WordPiece,DistilBertTokenizerFast
sentence-transformers/multi-qa-distilbert-dot-v1,45276672,23834112,21442560,11.49,13.33,15.49,4-bit,ok,distilbert,12,512,False,768,encoder,high,3072.0,768,True,True,False,False,DistilBERT,6,CLS,WordPiece,DistilBertTokenizerFast
sentence-transformers/paraphrase-albert-small-v2,8120064,4004096,4115968,12.36,15.28,15.99,4-bit,ok,albert,12,512,False,768,encoder,high,3072.0,768,True,True,False,False,ALBERT,6,CLS,SentencePiece,AlbertTokenizerFast
sentence-transformers/paraphrase-albert-base-v2,8120064,4004096,4115968,18.76,20.55,20.72,4-bit,ok,albert,12,512,False,768,encoder,high,3072.0,768,True,True,False,False,ALBERT,12,CLS,SentencePiece,AlbertTokenizerFast
sentence-transformers/all-MiniLM-L6-v2,17478528,11917824,5560704,14.02,17.04,17.14,4-bit,ok,bert,12,512,False,384,encoder,high,1536.0,384,True,True,False,False,MiniLM,6,CLS,WordPiece,BertTokenizerFast
